aweme_id,cid,text,create_time,user_nickname,user_avatar,reply_comment_total,ip_label
7268594825438563595,7326498956753961754,一看就是护手霜，不便宜呢，600一盒,1705833471,九命相柳,71e1c4c6521af68e617c55d860a5ddef.jpeg,0,安徽
7268594825438563595,7268596161630733071,矿泉水喝了 直接海岛称霸,1692351936,羽,acd2f062bf06209f3c025e7abdedd401.jpeg,0,浙江
7268594825438563595,7268716113550607141,显眼包,1692379902,ㅤㅤ     ㅤ,a84744fd05c3fc628a47c3b001d8c67c.jpeg,0,江苏
7268594825438563595,7268614332970287906,貌似那个矿泉水好几十一瓶吧，,1692356163,砳砳,5d5e321f14b289b4891bfe012ac17f64.jpeg,2,四川
7268594825438563595,7268638080394478377,显眼蛋[捂脸][捂脸][捂脸],1692361693,7up,5b42d366ee04c493b21c7c53d0f199b4.jpeg,0,云南
7268594825438563595,7268751764160217895,那个护手霜可是好东西啊，肯定是怕你冬天干燥手滑不动[看][看]然后保护好手  再创51杀[送心][送心],1692388231,✨小安🫧 ⁵¹⁰⁷⁴,26f40bcda261f1177bff672b706897c1.jpeg,0,重庆
7268594825438563595,7268596920339022648,那天晚上说有矿泉水我寻思着谁啊送矿泉水， 是我孤陋寡闻了 [捂脸],1692352112,风沙迷了眼⁵¹⁰⁷⁴,72c1302856a0bc4a90f0d16526399c44.jpeg,0,广东
7268594825438563595,7268642287537963795,那是子母河的水，珍贵得很！,1692362675,用户4586988218242,b67a9005012080d6286ab6cc035251c2.jpeg,0,河南
7268594825438563595,7268882185591227191,[捂脸]好贵的矿泉水,1692418530,花哥威武,bacafbe901652caef9571759e2be901f.jpeg,0,海南
7268594825438563595,7268606466805416765,大哥说了，那那鞋油的用法，先用矿泉水洗鞋子再把鞋油倒入咖啡机搅拌煮开然后就可以擦鞋子🥿了[捂脸][捂脸][捂脸][抱拳][抱拳][抱拳],1692354334,安逸,bf426e1c05e9b51c8a4dd5442090bbb3.jpeg,0,广东
7268594825438563595,7268597828574020415,别喝，女儿国河里的…,1692352325,大老粗 ³²,809c776c9bf2e8e243971136b78d729f.jpeg,0,安徽
7268594825438563595,7269522343351976739,这是矿泉水吗？  我以为老白干,1692567602,用户8116048597742,2f0c1d624595a7527daa35a19cf309de.jpeg,0,湖南
7268594825438563595,7268611788106154792,显眼包实锤[泪奔],1692355575,张迷糊,f1eb1d0997f0d37e099fb282f5e2ff97.jpeg,0,辽宁
7268594825438563595,7268633312439370551,显眼包,1692360581,用户6391153009133,2f0c1d624595a7527daa35a19cf309de.jpeg,0,湖北
7268594825438563595,7268600836643767103,哈哈哈哈哈，显眼包,1692353021,壹柯鱼丸🌟,143d301925cfc88079f5afa46579de17.jpeg,0,浙江
